casoJB4a
0.008
0.008
0.008
0.007
0.007
casoJB4b
20787.39523809524 0.007
20787.39523809524 0.008
20787.39523809524 0.008
20787.39523809524 0.008
20787.39523809524 0.008
casoJB8a
45587.67222222222 0.022
45587.67222222222 0.033
45587.67222222222 0.024
45587.67222222222 0.023
45587.67222222222 0.023
casoJB8b
37611.941666666666 0.261
37611.941666666666 0.299
37611.941666666666 0.272
37611.941666666666 0.263
37611.941666666666 0.276
casoJB10a
40812.64666666667 63.587
40812.64666666667 60.356
40812.64666666667 61.024
40812.64666666667 61.834
40812.64666666667 61.748
casoJB10b
29677.098604465707 1.292
29677.098604465707 1.265
29677.098604465707 1.275
29677.098604465707 1.214
29677.098604465707 1.235
casoJB12a
34491.636954711954 115.191
34491.636954711954 117.24
34491.636954711954 120.428
34491.636954711954 116.698
34491.636954711954 112.022
casoJB12b
39736.90420614817 92.743
39736.90420614817 95.569
39736.90420614817 95.129
39736.90420614817 93.88
39736.90420614817 101.684
casoJB14a
